epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
129;0.0006362905260175467;0.001;0.018845900893211365;0.0006362905260175467;0.0008548612822778523;0.021673759445548058;0.0008548612822778523
130;0.0006673288880847394;0.001;0.019575703889131546;0.0006673288880847394;0.0005729150725528598;0.018748417496681213;0.0005729150725528598
131;0.0006396051030606031;0.001;0.019413594156503677;0.0006396051030606031;0.0005753618315793574;0.01858467422425747;0.0005753618315793574
132;0.00062559760408476;0.001;0.018661940470337868;0.00062559760408476;0.0006579412147402763;0.019136512652039528;0.0006579412147402763
133;0.000631613889709115;0.001;0.018644029274582863;0.000631613889709115;0.0006293808110058308;0.019206130877137184;0.0006293808110058308
134;0.0005648183287121356;0.001;0.018097296357154846;0.0005648183287121356;0.0006173707079142332;0.018723642453551292;0.0006173707079142332
135;0.000593263132032007;0.001;0.018024694174528122;0.000593263132032007;0.0005619163275696337;0.018164413049817085;0.0005619163275696337
136;0.0006902627646923065;0.001;0.01991966925561428;0.0006902627646923065;0.0005671214894391596;0.01853870414197445;0.0005671214894391596
137;0.0005969449412077665;0.001;0.01858632080256939;0.0005969449412077665;0.0005699025350622833;0.01941106840968132;0.0005699025350622833
138;0.0007311293156817555;0.001;0.020973503589630127;0.0007311293156817555;0.0007293837843462825;0.021580634638667107;0.0007293837843462825
139;0.0007593271438963711;0.001;0.020690424367785454;0.0007593271438963711;0.0005244382773526013;0.017670540139079094;0.0005244382773526013
140;0.0009647083352319896;0.001;0.02326877787709236;0.0009647083352319896;0.0018608389655128121;0.03546089679002762;0.0018608389655128121
141;0.000948674394749105;0.001;0.02318592742085457;0.000948674394749105;0.0005838529905304313;0.019140465185046196;0.0005838529905304313
142;0.0006148553802631795;0.001;0.01888161338865757;0.0006148553802631795;0.0012549808016046882;0.028417667374014854;0.0012549808016046882
143;0.0010494297603145242;0.001;0.025110898539423943;0.0010494297603145242;0.000523922557476908;0.018234919756650925;0.000523922557476908
144;0.001095731626264751;0.001;0.024485893547534943;0.001095731626264751;0.0010929559357464314;0.025647733360528946;0.0010929559357464314
145;0.0011197549756616354;0.001;0.025101512670516968;0.0011197549756616354;0.000567129347473383;0.019081709906458855;0.000567129347473383
146;0.0007543331012129784;0.001;0.021003922447562218;0.0007543331012129784;0.001618347829207778;0.03240571543574333;0.001618347829207778
147;0.0008763796649873257;0.001;0.021954726427793503;0.0008763796649873257;0.0011977619724348187;0.028095263987779617;0.0011977619724348187
148;0.0007107707788236439;0.001;0.02033022977411747;0.0007107707788236439;0.000811659439932555;0.022766657173633575;0.000811659439932555
149;0.0006167805404402316;0.001;0.018716899678111076;0.0006167805404402316;0.0007869002874940634;0.0227378997951746;0.0007869002874940634
150;0.0007328983047045767;0.001;0.021280422806739807;0.0007328983047045767;0.0006327187875285745;0.019790001213550568;0.0006327187875285745
151;0.0007466580718755722;0.001;0.021417493000626564;0.0007466580718755722;0.000673712114803493;0.02090555615723133;0.000673712114803493
152;0.0006826100288890302;0.001;0.02026328817009926;0.0006826100288890302;0.0005645917844958603;0.018968826159834862;0.0005645917844958603
153;0.0006000290741212666;0.001;0.018689220771193504;0.0006000290741212666;0.0006123169441707432;0.019403941929340363;0.0006123169441707432
154;0.0005692951381206512;0.001;0.018017034977674484;0.0005692951381206512;0.000639856792986393;0.0191568061709404;0.000639856792986393
155;0.000548524665646255;0.001;0.017835939303040504;0.000548524665646255;0.001004501013085246;0.024259570986032486;0.001004501013085246
156;0.0005940876435488462;0.001;0.018631137907505035;0.0005940876435488462;0.0006487002247013152;0.02003397047519684;0.0006487002247013152
157;0.0004961829981766641;0.001;0.016744252294301987;0.0004961829981766641;0.0006361445412039757;0.01959199272096157;0.0006361445412039757
158;0.000665686558932066;0.001;0.01945379376411438;0.000665686558932066;0.0006016287952661514;0.01841949112713337;0.0006016287952661514
159;0.0006007860065437853;0.001;0.01820441707968712;0.0006007860065437853;0.0005362326628528535;0.01768801547586918;0.0005362326628528535
160;0.0005034009227529168;0.001;0.017236091196537018;0.0005034009227529168;0.0006056209676899016;0.01870729774236679;0.0006056209676899016
161;0.0005226024659350514;0.001;0.017297249287366867;0.0005226024659350514;0.0005864803097210824;0.01865382492542267;0.0005864803097210824
162;0.0005086783785372972;0.001;0.01639409177005291;0.0005086783785372972;0.0005409594741649926;0.017939770594239235;0.0005409594741649926
163;0.0005325695965439081;0.001;0.01721048168838024;0.0005325695965439081;0.000531512894667685;0.017796849831938744;0.000531512894667685
164;0.0005409610457718372;0.001;0.01742703653872013;0.0005409610457718372;0.0005796544719487429;0.018476340919733047;0.0005796544719487429
165;0.0006218231865204871;0.001;0.018499845638871193;0.0006218231865204871;0.0005785411922261119;0.01845676265656948;0.0005785411922261119
166;0.0007095846231095493;0.001;0.019471989944577217;0.0007095846231095493;0.0006243379320949316;0.01847640611231327;0.0006243379320949316
167;0.0005769100971519947;0.001;0.018771633505821228;0.0005769100971519947;0.0007711642538197339;0.021984539926052094;0.0007711642538197339
168;0.0008787489496171474;0.001;0.022241858765482903;0.0008787489496171474;0.0005878306110389531;0.01784880831837654;0.0005878306110389531
169;0.0005877974326722324;0.001;0.01830141246318817;0.0005877974326722324;0.0006463171448558569;0.019509123638272285;0.0006463171448558569
170;0.0006133741699159145;0.001;0.01853387989103794;0.0006133741699159145;0.0006445777253247797;0.01979590579867363;0.0006445777253247797
171;0.0005246493383310735;0.001;0.017377182841300964;0.0005246493383310735;0.0004941793158650398;0.016916900873184204;0.0004941793158650398
172;0.0005766986287198961;0.001;0.017838818952441216;0.0005766986287198961;0.0005193945253267884;0.017251279205083847;0.0005193945253267884
173;0.0005767167313024402;0.001;0.01786738447844982;0.0005767167313024402;0.0007198209641501307;0.020952872931957245;0.0007198209641501307
174;0.0005724551156163216;0.001;0.018419712781906128;0.0005724551156163216;0.0007717661210335791;0.02101609855890274;0.0007717661210335791
175;0.0005439554806798697;0.001;0.017526397481560707;0.0005439554806798697;0.0005612166132777929;0.01879156567156315;0.0005612166132777929
176;0.0005923194112256169;0.001;0.01830182783305645;0.0005923194112256169;0.0007931266445666552;0.020976636558771133;0.0007931266445666552
177;0.0005731251440010965;0.001;0.018124684691429138;0.0005731251440010965;0.0006022602319717407;0.019510990008711815;0.0006022602319717407
178;0.0004505232791416347;0.001;0.016265494748950005;0.0004505232791416347;0.000574492325540632;0.018502239137887955;0.000574492325540632
179;0.0004897771286778152;0.001;0.016203822568058968;0.0004897771286778152;0.0005857938667759299;0.018359972164034843;0.0005857938667759299
180;0.00046782949357293546;0.001;0.015875807031989098;0.00046782949357293546;0.0005747657851316035;0.018805427476763725;0.0005747657851316035
181;0.0004437393799889833;0.001;0.016158316284418106;0.0004437393799889833;0.0007127797580324113;0.020564328879117966;0.0007127797580324113
182;0.0005423409747891128;0.001;0.0177487563341856;0.0005423409747891128;0.0006092526600696146;0.01979248970746994;0.0006092526600696146
183;0.0005295176524668932;0.001;0.016860412433743477;0.0005295176524668932;0.0006326349102891982;0.020260242745280266;0.0006326349102891982
184;0.0005151060177013278;0.001;0.017309051007032394;0.0005151060177013278;0.000570618431083858;0.018734607845544815;0.000570618431083858
185;0.0005900548421777785;0.001;0.01818353496491909;0.0005900548421777785;0.0011464792769402266;0.028131937608122826;0.0011464792769402266
186;0.0006562642520293593;0.001;0.018931565806269646;0.0006562642520293593;0.0007524663815274835;0.02217373251914978;0.0007524663815274835
187;0.0006973825511522591;0.001;0.019395170733332634;0.0006973825511522591;0.001068022334948182;0.026291104033589363;0.001068022334948182
188;0.000573899713344872;0.001;0.018043868243694305;0.000573899713344872;0.0009688246063888073;0.025421634316444397;0.0009688246063888073
189;0.0004556663043331355;0.001;0.016467295587062836;0.0004556663043331355;0.0006871023215353489;0.02084324322640896;0.0006871023215353489
190;0.0004369514645077288;0.001;0.015348314307630062;0.0004369514645077288;0.0009666619589552283;0.024487270042300224;0.0009666619589552283
191;0.00043256478966213763;0.001;0.01551632210612297;0.00043256478966213763;0.000747264246456325;0.021449308842420578;0.000747264246456325
192;0.00048550532665103674;0.001;0.016934294253587723;0.00048550532665103674;0.0008529149927198887;0.023242752999067307;0.0008529149927198887
193;0.0005411105812527239;0.001;0.017393676564097404;0.0005411105812527239;0.0005618014256469905;0.01883023791015148;0.0005618014256469905
194;0.0005094181979075074;0.001;0.017483027651906013;0.0005094181979075074;0.0005908407038077712;0.018852904438972473;0.0005908407038077712
195;0.0005233344272710383;0.001;0.017527375370264053;0.0005233344272710383;0.0005604859325103462;0.018012600019574165;0.0005604859325103462
196;0.0004830278630834073;0.001;0.016523944213986397;0.0004830278630834073;0.0006025917246006429;0.018316403031349182;0.0006025917246006429
197;0.000678075070027262;0.001;0.020365023985505104;0.000678075070027262;0.000571456563193351;0.018062559887766838;0.000571456563193351
198;0.0005683281342498958;0.001;0.017496833577752113;0.0005683281342498958;0.0005573629750870168;0.01748451218008995;0.0005573629750870168
199;0.00046911888057366014;0.001;0.016002224758267403;0.00046911888057366014;0.0006642994121648371;0.018767669796943665;0.0006642994121648371
200;0.0004143839469179511;0.001;0.014947108924388885;0.0004143839469179511;0.0006099434685893357;0.018178706988692284;0.0006099434685893357
201;0.0004731053195428103;0.001;0.016087045893073082;0.0004731053195428103;0.0011084554716944695;0.025977862998843193;0.0011084554716944695
202;0.0005342759541235864;0.001;0.017340797930955887;0.0005342759541235864;0.0006211619474925101;0.019789183512330055;0.0006211619474925101
203;0.00041037387563847005;0.001;0.014957472681999207;0.00041037387563847005;0.0005358979105949402;0.017816437408328056;0.0005358979105949402
204;0.0004476894100662321;0.001;0.01569458656013012;0.0004476894100662321;0.0007716566324234009;0.021628208458423615;0.0007716566324234009
205;0.00044313963735476136;0.001;0.015358219854533672;0.00044313963735476136;0.0006798949907533824;0.019783224910497665;0.0006798949907533824
206;0.000632590614259243;0.001;0.018627827987074852;0.000632590614259243;0.0010687041794881225;0.025851108133792877;0.0010687041794881225
207;0.000509626348502934;0.001;0.016397962346673012;0.000509626348502934;0.0005584196769632399;0.01789259724318981;0.0005584196769632399
208;0.00040993501897901297;0.001;0.014857315458357334;0.00040993501897901297;0.0005355298635549843;0.018008925020694733;0.0005355298635549843
209;0.00037861126475036144;0.001;0.014684864319860935;0.00037861126475036144;0.0006676418706774712;0.01885800249874592;0.0006676418706774712
210;0.0004330227093305439;0.001;0.01537267304956913;0.0004330227093305439;0.0005817641504108906;0.018130160868167877;0.0005817641504108906
211;0.0004154021735303104;0.001;0.015111733227968216;0.0004154021735303104;0.0005455990904010832;0.017586102709174156;0.0005455990904010832
212;0.00042055369704030454;0.001;0.015309538692235947;0.00042055369704030454;0.0005689266254194081;0.01839762181043625;0.0005689266254194081
213;0.0004080628859810531;0.001;0.015218282118439674;0.0004080628859810531;0.0006413155933842063;0.018137246370315552;0.0006413155933842063
214;0.0005021332181058824;0.001;0.01653401181101799;0.0005021332181058824;0.0006094042328186333;0.018678398802876472;0.0006094042328186333
215;0.00040231519960798323;0.001;0.01477779634296894;0.00040231519960798323;0.0007715742685832083;0.021282561123371124;0.0007715742685832083
216;0.0004667862376663834;0.001;0.015551144257187843;0.0004667862376663834;0.0006290476303547621;0.019817497581243515;0.0006290476303547621
217;0.0003733274934347719;0.001;0.014348688535392284;0.0003733274934347719;0.0005304306396283209;0.017385253682732582;0.0005304306396283209
218;0.00033064367016777396;0.001;0.013647995889186859;0.00033064367016777396;0.0005692047998309135;0.018404750153422356;0.0005692047998309135
219;0.0003529959940351546;0.001;0.013864262960851192;0.0003529959940351546;0.0005609953659586608;0.01823074370622635;0.0005609953659586608
